Time,sonic_temperature,PSPWatt_UP_Avg,co2_flux
,[K],W/m2,[繕mol+1s-1m-2]
2022/8/30 13:23,303.806,215.9266667,-2.9984
2022/8/30 13:53,303.93,187.5066667,-1.25545
2022/8/30 14:23,303.112,111.44,1.22384
2022/8/30 14:53,304.165,298.2366667,-6.35378
2022/8/30 15:23,302.573,71.994,1.95658
2022/8/30 15:53,301.562,51.31233333,2.77501
2022/8/30 16:23,300.939,45.59466667,2.42175
2022/8/30 16:53,301.403,60.21433333,-0.00697
2022/8/30 17:23,301.612,54.07966667,0.272602
2022/8/30 17:53,301.069,22.62766667,2.12592
2022/8/30 18:23,300.731,2.0142,3.23124
2022/8/30 18:53,300.421,0,-3.25724
2022/8/30 19:23,300.229,0,3.58792
2022/8/30 19:53,299.893,0,9.45725
2022/8/30 20:23,300.025,0,2.29442
2022/8/30 20:53,299.461,0,3.48092
2022/8/30 21:23,298.494,0,-0.126183
2022/8/30 21:53,298.29,0,-11.9573
2022/8/30 22:23,298.117,0,11.7888
2022/8/30 22:53,298.047,0,-45.5361
2022/8/30 23:23,298.06,0,16.7145
2022/8/30 23:53,298.167,0,-12.1039
2022/8/31 00:23,298.084,0,1.06874
2022/8/31 00:53,297.99,0,7.13026
2022/8/31 01:23,297.931,0,0.109584
2022/8/31 01:53,297.999,0,1.81447
2022/8/31 02:23,297.972,0,2.28461
2022/8/31 02:53,297.883,0,-0.0438
2022/8/31 03:23,297.819,0.1065,-3.29713
2022/8/31 03:53,298.803,0.8865,-2.97233
2022/8/31 04:23,298.925,0.285,-0.972275
2022/8/31 04:53,298.6,0,-9.87394
2022/8/31 05:23,298.115,0,-0.459667
2022/8/31 05:53,297.834,4.9996,25.6088
2022/8/31 06:23,298.019,23.816,2.04034
2022/8/31 06:53,298.778,73.41233333,-10.0981
2022/8/31 07:23,300.838,182.35,4.99914
2022/8/31 07:53,302.309,467.9733333,-0.916631
2022/8/31 08:23,303.217,519.5433333,-1.72134
2022/8/31 08:53,302.886,455.99,-4.49969
